2026-08-07 06:36:26 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.96m | my_pos=(28.3107714,77.3551665)
2026-08-07 06:36:26 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=67.43m | my_pos=(28.3107894,77.3551816)
2026-08-07 06:36:27 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.99m | my_pos=(28.3108434,77.3552267)
2026-08-07 06:36:27 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=67.46m | my_pos=(28.3108615,77.3552418)
2026-08-07 06:36:28 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=65.00m | my_pos=(28.3109156,77.3552871)
2026-08-07 06:36:28 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=65.00m | my_pos=(28.3109517,77.3553172)
2026-08-07 06:36:29 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.98m | my_pos=(28.3109880,77.3553475)
2026-08-07 06:36:29 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=60.02m | my_pos=(28.3110243,77.3553778)
2026-08-07 06:36:30 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.94m | my_pos=(28.3110605,77.3554080)
2026-08-07 06:36:30 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.89m | my_pos=(28.3110967,77.3554383)
2026-08-07 06:36:31 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.86m | my_pos=(28.3111329,77.3554686)
2026-08-07 06:36:31 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.87m | my_pos=(28.3111689,77.3554986)
2026-08-07 06:36:32 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.89m | my_pos=(28.3112048,77.3555287)
2026-08-07 06:36:32 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.91m | my_pos=(28.3112408,77.3555587)
2026-08-07 06:36:33 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.92m | my_pos=(28.3112769,77.3555888)
2026-08-07 06:36:33 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.91m | my_pos=(28.3113131,77.3556191)
2026-08-07 06:36:34 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=59.95m | my_pos=(28.3113493,77.3556494)
2026-08-07 06:36:34 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.88m | my_pos=(28.3113856,77.3556796)
2026-08-07 06:36:35 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.88m | my_pos=(28.3114217,77.3557098)
2026-08-07 06:36:35 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.83m | my_pos=(28.3114581,77.3557402)
2026-08-07 06:36:36 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.80m | my_pos=(28.3114942,77.3557704)
2026-08-07 06:36:36 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=59.85m | my_pos=(28.3115303,77.3558005)
2026-08-07 06:36:37 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.79m | my_pos=(28.3115664,77.3558307)
2026-08-07 06:36:37 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.78m | my_pos=(28.3116026,77.3558609)
2026-08-07 06:36:38 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=67.28m | my_pos=(28.3116206,77.3558759)
2026-08-07 06:36:38 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.82m | my_pos=(28.3116746,77.3559211)
2026-08-07 06:36:39 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.85m | my_pos=(28.3117106,77.3559512)
2026-08-07 06:36:39 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=67.30m | my_pos=(28.3117288,77.3559663)
2026-08-07 06:36:40 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.78m | my_pos=(28.3117831,77.3560117)
2026-08-07 06:36:40 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.76m | my_pos=(28.3118192,77.3560419)
2026-08-07 06:36:41 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.76m | my_pos=(28.3118553,77.3560720)
2026-08-07 06:36:41 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.73m | my_pos=(28.3118916,77.3561023)
2026-08-07 06:36:42 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.73m | my_pos=(28.3119277,77.3561325)
2026-08-07 06:36:42 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.76m | my_pos=(28.3119637,77.3561626)
2026-08-07 06:36:43 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.77m | my_pos=(28.3119997,77.3561927)
2026-08-07 06:36:43 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.76m | my_pos=(28.3120360,77.3562230)
2026-08-07 06:36:44 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.77m | my_pos=(28.3120722,77.3562532)
2026-08-07 06:36:44 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.75m | my_pos=(28.3121084,77.3562834)
2026-08-07 06:36:45 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.75m | my_pos=(28.3121445,77.3563136)
2026-08-07 06:36:45 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=59.78m | my_pos=(28.3121807,77.3563438)
2026-08-07 06:36:46 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.66m | my_pos=(28.3122170,77.3563741)
2026-08-07 06:36:46 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.63m | my_pos=(28.3122531,77.3564044)
2026-08-07 06:36:47 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.64m | my_pos=(28.3122891,77.3564344)
2026-08-07 06:36:47 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.65m | my_pos=(28.3123251,77.3564645)
2026-08-07 06:36:48 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.65m | my_pos=(28.3123613,77.3564947)
2026-08-07 06:36:48 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.66m | my_pos=(28.3123974,77.3565249)
2026-08-07 06:36:49 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.67m | my_pos=(28.3124335,77.3565550)
2026-08-07 06:36:49 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.69m | my_pos=(28.3124696,77.3565852)
2026-08-07 06:36:50 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.65m | my_pos=(28.3125060,77.3566155)
2026-08-07 06:36:50 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.64m | my_pos=(28.3125422,77.3566458)
2026-08-07 06:36:51 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.61m | my_pos=(28.3125785,77.3566761)
2026-08-07 06:36:51 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.58m | my_pos=(28.3126146,77.3567063)
2026-08-07 06:36:52 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.56m | my_pos=(28.3126508,77.3567365)
2026-08-07 06:36:52 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.57m | my_pos=(28.3126867,77.3567666)
2026-08-07 06:36:53 [INFO] SLOWDOWN_ZONE | near=drone1 | dist=64.60m | my_pos=(28.3127227,77.3567966)
